Date,Algerian dinar   (DZD),Australian dollar   (AUD),Bahrain dinar   (BHD),Bolivar Fuerte   (VEF),Botswana pula   (BWP),Brazilian real   (BRL),Brunei dollar   (BND),Canadian dollar   (CAD),Chilean peso   (CLP),Chinese yuan   (CNY),Colombian peso   (COP),Czech koruna   (CZK),Danish krone   (DKK),Euro   (EUR),Hungarian forint   (HUF),Icelandic krona   (ISK),Indian rupee   (INR),Indonesian rupiah   (IDR),Iranian rial   (IRR),Israeli New Shekel   (ILS),Japanese yen   (JPY),Kazakhstani tenge   (KZT),Korean won   (KRW),Kuwaiti dinar   (KWD),Libyan dinar   (LYD),Malaysian ringgit   (MYR),Mauritian rupee   (MUR),Mexican peso   (MXN),Nepalese rupee   (NPR),New Zealand dollar   (NZD),Norwegian krone   (NOK),Omani rial   (OMR),Pakistani rupee   (PKR),Peruvian sol   (PEN),Philippine peso   (PHP),Polish zloty   (PLN),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Singapore dollar   (SGD),South African rand   (ZAR),Sri Lankan rupee   (LKR),Swedish krona   (SEK),Swiss franc   (CHF),Thai baht   (THB),Trinidadian dollar   (TTD),Tunisian dinar   (TND),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD),Uruguayan peso   (UYU),Bolivar Soberano   (VES)
2012-01-01,76.32,0.97,0.376,4.2893,7.49,1.85,1.29,1.01,518.2,6.3,1942.7,19.73,5.71,0.77,242.16,121.98,53.23,9160.0,11181.0,3.81,76.66,148.4,1155.5,0.28,1.9324,3.15,29.35,13.69,85.19,1.26,5.94,0.38,90.0587,2.7,43.75,3.43,3.64,32.2,3.75,1.29,8.04,113.8998,6.82,0.93,31.46,6.41,1.4987,3.67,0.64,1.0,19.7,3690.9495
2012-01-02,76.32,0.97,0.376,4.2893,7.49,1.85,1.29,1.01,518.2,6.3,1942.7,19.73,5.71,0.77,242.16,121.98,53.23,9160.0,11181.0,3.81,76.66,148.4,1155.5,0.28,1.9324,3.15,29.35,13.69,85.19,1.26,5.94,0.38,90.0587,2.7,43.75,3.43,3.64,32.2,3.75,1.29,8.04,113.8998,6.82,0.93,31.46,6.41,1.4987,3.67,0.64,1.0,19.7,3690.9495
2012-01-03,76.32,0.97,0.376,4.2893,7.49,1.85,1.29,1.01,518.2,6.3,1942.7,19.73,5.71,0.77,242.16,121.98,53.23,9160.0,11181.0,3.81,76.66,148.4,1155.5,0.28,1.9324,3.15,29.35,13.69,85.19,1.26,5.94,0.38,90.0587,2.7,43.75,3.43,3.64,32.2,3.75,1.29,8.04,113.8998,6.82,0.93,31.46,6.41,1.4987,3.67,0.64,1.0,19.7,3690.9495
2012-01-04,76.32,0.97,0.376,4.2893,7.49,1.83,1.29,1.01,514.34,6.3,1915.02,19.89,5.74,0.77,245.0,122.01,53.14,9180.0,11180.0,3.85,76.66,148.4,1150.9,0.28,1.9324,3.14,29.28,13.71,85.15,1.26,5.95,0.38,90.1504,2.7,43.76,3.43,3.64,32.2,3.75,1.29,8.11,113.9,6.82,0.94,31.46,6.41,1.4942,3.67,0.64,1.0,19.69,3690.9495
2012-01-05,76.32,0.97,0.376,4.2893,7.53,1.84,1.29,1.02,512.23,6.31,1898.24,20.19,5.79,0.78,250.28,123.22,52.78,9163.0,11180.0,3.85,76.73,148.23,1147.4,0.28,1.9324,3.14,29.27,13.74,84.9,1.27,5.99,0.38,90.3836,2.69,43.76,3.51,3.64,32.2,3.75,1.29,8.19,113.9,6.85,0.95,31.56,6.39,1.4951,3.67,0.64,1.0,19.71,3690.9495
2012-01-06,76.32,0.98,0.376,4.2893,7.53,1.84,1.29,1.02,511.8,6.32,1884.44,20.23,5.82,0.78,247.05,123.61,52.78,9160.0,11196.0,3.84,77.19,148.08,1150.3,0.28,1.9324,3.15,29.37,13.72,84.49,1.28,6.01,0.38,90.5767,2.69,43.92,3.51,3.64,32.2,3.75,1.29,8.16,113.8998,6.87,0.95,31.64,6.4,1.5046,3.67,0.65,1.0,19.69,3690.9495
2012-01-07,76.39,0.98,0.376,4.2893,7.53,1.84,1.29,1.02,511.05,6.32,1884.45,20.25,5.83,0.78,246.61,123.64,52.76,9169.0,11212.0,3.84,77.11,148.15,1153.0,0.28,1.9324,3.15,29.41,13.73,84.44,1.28,6.01,0.38,90.683,2.69,43.99,3.51,3.64,32.2,3.75,1.29,8.16,113.9,6.89,0.95,31.69,6.4,1.5079,3.67,0.65,1.0,19.68,3690.9495
2012-01-08,76.45,0.98,0.376,4.2893,7.53,1.84,1.3,1.03,510.29,6.32,1884.46,20.27,5.83,0.78,246.17,123.68,52.75,9179.0,11228.0,3.84,77.03,148.22,1155.7,0.28,1.9324,3.16,29.45,13.74,84.4,1.28,6.01,0.38,90.7894,2.69,44.06,3.51,3.64,32.2,3.75,1.3,8.16,113.9,6.9,0.95,31.74,6.4,1.5112,3.67,0.65,1.0,19.66,3690.9495
2012-01-09,76.52,0.98,0.376,4.2893,7.53,1.84,1.3,1.03,509.54,6.32,1884.47,20.28,5.84,0.79,245.73,123.71,52.73,9188.0,11244.0,3.84,76.95,148.29,1158.4,0.28,1.9324,3.16,29.5,13.74,84.35,1.28,6.02,0.38,90.8957,2.69,44.13,3.52,3.64,32.2,3.75,1.3,8.16,113.9,6.92,0.95,31.79,6.39,1.5145,3.67,0.65,1.0,19.65,3690.9495
2012-01-10,76.4,0.97,0.376,4.2893,7.49,1.84,1.29,1.02,512.4,6.32,1884.47,20.13,5.81,0.78,245.52,123.72,52.23,9190.0,11240.0,3.83,76.87,148.54,1164.3,0.28,1.9324,3.14,29.55,13.62,84.05,1.27,5.98,0.38,90.4202,2.69,44.25,3.51,3.64,31.87,3.75,1.29,8.09,113.9,6.91,0.95,31.71,6.39,1.5197,3.67,0.65,1.0,19.59,3690.9495
